spanish,english,context
módulo,module,Physics > Aplied Physics
módulo, modulus,Physics > Aplied Physics
módulo,module,Technological Sciences > Mechanical engineering and technology
módulo,modulus,Technological Sciences > Electrical technology and engineering
módulo,module,Medical Sciences > Pharmaceutical Technology
módulo,module,Technological Sciences > Instrumentation technology
módulo,module,Technological Sciences > Construction technology
módulo,module,Technological Sciences > Computer technology
módulo,modulus,Mathematics > Algebra
módulo,modulus,Physics > Electro-magnetism
módulo,module,Technological Sciences > Electronic technology
módulo,module,Mathematics > Analysis and functional analysis
módulo, modulus,Mathematics > Analysis and functional analysis
módulo, absolute value,Mathematics > Analysis and functional analysis
módulo, modulus,Mathematics > Analysis and functional analysis
módulo de compresibilidad,compressibility modulus,Physics > General Physics specialities
módulo de compresibilidad,compressibility modulus,Physics > Thermodynamics
módulo de compresibilidad,bulk modulus,Physics > Electro-magnetism
moho,mould,Technological Sciences > Environmental technology and engineering
moho,mold,Life sciences > Microbiology
moho, mould,Life sciences > Microbiology
moho,filamentous fungi,Medical Sciences > Microbiology
momento,moment,Physics > Electro-magnetism
momento, moment of a force,Physics > Electro-magnetism
momento, torque,Physics > Electro-magnetism
momento,moment of a force,Physics > Aplied Physics
momento, torque,Physics > Aplied Physics
momento,momentum,Physics > Thermodynamics
momento,moment,Physics > Mechanics
momento, torque,Physics > Mechanics
momento,moment,Technological Sciences > Construction technology
momento,linear momentum,Physics > General Physics specialities
momento, momentum,Physics > General Physics specialities
momento, moment,Physics > General Physics specialities
momento, torque,Physics > General Physics specialities
moneda,currency,Economic Sciences > General economics
moneda,money,Economic Sciences > Organization and management of enterprises
monitorización,monitoring,Technological Sciences > Instrumentation technology
monitorización,monitorization,Medical Sciences > Pharmacology
montaje,mounting,Technological Sciences > Electrical technology and engineering
montaje,assembling,Technological Sciences > Mechanical engineering and technology
montaje, mounting,Technological Sciences > Mechanical engineering and technology
montaje,assembly,Technological Sciences > Industrial technology
montaje,assembly,Technological Sciences > Projects
montaje,assembly,Economic Sciences > Organization and management of enterprises
morfología,morfology,Technological Sciences > Projects
morfología,morphology,Life sciences > Cell biology
móvil,body,Physics > Mechanics
móvil,moving object,Physics > General Physics specialities
móvil,mobile,Physics > Aplied Physics
movimiento,motion,Physics > Electro-magnetism
movimiento, movement,Physics > Electro-magnetism
movimiento,movement,Medical Sciences > Pharmacology
movimiento,motion,Physics > General Physics specialities
movimiento,movement,Medical Sciences > Pharmaceutical Technology
movimiento,motion,Physics > Mechanics
movimiento, movement,Physics > Mechanics
movimiento,motion,Technological Sciences > Construction technology
movimiento,motion,Physics > Aplied Physics
movimiento,motion,Life sciences > Cell biology
movimiento armónico,harmonic motion,Physics > Aplied Physics
movimiento armónico,harmonic motion,Physics > Electro-magnetism
movimiento armónico,harmonic movement,Mathematics > Analysis and functional analysis
movimiento armónico,harmonic motion,Technological Sciences > Mechanical engineering and technology
movimiento de rotación,rotating movement,Technological Sciences > Industrial technology
movimiento de rotación, rotational motion,Technological Sciences > Industrial technology
movimiento de rotación,rotary motion,Technological Sciences > Construction technology
movimiento de rotación, rotation motion,Technological Sciences > Construction technology
movimiento de rotación,rotating motion,Physics > Electro-magnetism
movimiento de rotación, rotational motion,Physics > Electro-magnetism
movimiento de rotación,rotary motion,Physics > Aplied Physics
movimiento de translación,translation,Physics > Aplied Physics
movimiento de translación,translation,Physics > Mechanics
movimiento de translación,translation motion,Technological Sciences > Construction technology
movimiento oscilatorio,oscillating motion,Physics > Electro-magnetism
movimiento oscilatorio, oscillating movement,Physics > Electro-magnetism
movimiento oscilatorio, oscillatory motion,Physics > Electro-magnetism
movimiento oscilatorio,oscillatory motion,Physics > Aplied Physics
movimiento oscilatorio,oscillatory movement,Technological Sciences > Environmental technology and engineering
movimiento oscilatorio,oscillating motion,Physics > General Physics specialities
movimiento rectilíneo,linear motion,Physics > General Physics specialities
movimiento rectilíneo,rectilinear motion,Physics > Mechanics
movimiento rectilíneo,rectilinear motion,Physics > Electro-magnetism
movimiento rectilíneo uniforme,uniform rectilinear motion,Physics > Mechanics
movimiento rectilíneo uniforme, uniform straight-line motion,Physics > Mechanics
movimiento rectilíneo uniforme,uniform linear motion,Physics > General Physics specialities
movimiento relativo,relative motion,Physics > General Physics specialities
movimiento relativo,relative movement,Physics > Mechanics
movimiento relativo,relative mouvement,Technological Sciences > Construction technology
movimiento relativo,relative movement,Physics > Electro-magnetism
movimiento relativo,relative movement,Physics > Aplied Physics
mucosa,mucose,Medical Sciences > Pharmacology
mucosa,mucosa,Medical Sciences > Pharmaceutical Technology
mucosa,mucousal,Life sciences > Microbiology
muelle,spring,Physics > Aplied Physics
muelle,quay,Economic Sciences > Organization and management of enterprises
muelle,spring,Physics > General Physics specialities
muelle,spring,Technological Sciences > Mechanical engineering and technology
muelle,spring,Technological Sciences > Industrial technology
muelle,spring,Medical Sciences > Pharmaceutical Technology
multiplicador,multiplier,Mathematics > Operations research
multiplicador,speed multiplier,Technological Sciences > Electrical technology and engineering
multiplicador,multiplier,Mathematics > Analysis and functional analysis
multiplicador,multiplier,Technological Sciences > Telecommunications technology
muro,bottom,Earth and Space Sciences > Geology
muro,wall,Technological Sciences > Environmental technology and engineering
músculo esquelético,striated muscle,Life sciences > Cell biology
músculo esquelético,skeletal muscle,Life sciences > Animal Biology
músculo esquelético,skeletal muscle,Chemistry > Organic chemistry
nervio,nerve,Medical Sciences > Pharmacology
nervio,nerve,Life sciences > Animal Biology
nervio,rib,Technological Sciences > Industrial technology
nervio, stiffener,Technological Sciences > Industrial technology
nervio,rib,Technological Sciences > Mechanical engineering and technology
nervio,nerve,Life sciences > Cell biology
nivel,level,Technological Sciences > Construction technology
nivel,level,Technological Sciences > Projects
nivel,level,Medical Sciences > Pharmaceutical Technology
nivel,layer,Technological Sciences > Instrumentation technology
nivel,level,Physics > Fluids (physics of)
nivel,level,Chemistry > Analytical chemistry
nivel de aislamiento,isolation level,Technological Sciences > Computer technology
nivel de aislamiento,insulation level,Technological Sciences > Electrical technology and engineering
nivel de oxidación,oxidation level,Technological Sciences > Environmental technology and engineering
